0.63400006,0.581,0.79914194,0.29944777,STK,0.0,6251,Normalized
0.7120001,0.634,0.87099355,0.330037,STK,0.0,9080,Normalized
0.6460001,0.61499995,0.8295557,0.29666668,STK,0.0,8241,Normalized
0.714,0.65800005,0.8534041,0.36474368,STK,0.0,8828,Normalized
0.6759999,0.62700003,0.80437714,0.33730066,STK,0.0,55,Normalized
0.62000006,0.572,0.7700103,0.30713755,STK,0.0,2084,Normalized
0.68600005,0.644,0.82600397,0.35493442,STK,0.0,1375,Normalized
0.66199994,0.61099994,0.8160574,0.32536593,STK,0.0,2802,Normalized
0.67200005,0.6259998,0.84918433,0.3360119,STK,0.0,3501,Normalized
0.66,0.60000014,0.8425197,0.28892955,STK,0.0,3389,Normalized
