0.68799996,0.62900007,0.84649223,0.39045957,TF-IDF,83,6251
0.6759999,0.63500005,0.7909644,0.40359792,TF-IDF,74,9080
0.60400003,0.562,0.7661049,0.32021096,TF-IDF,58,8241
0.6780001,0.64100003,0.7969818,0.38989916,TF-IDF,80,8828
0.666,0.64,0.7656065,0.38227808,TF-IDF,66,55
0.694,0.65,0.7929966,0.38392925,TF-IDF,65,2084
0.61999995,0.58800006,0.76712495,0.32834056,TF-IDF,60,1375
0.7040001,0.65599996,0.8617621,0.3388713,TF-IDF,59,2802
0.64199996,0.566,0.789308,0.31896412,TF-IDF,67,3501
0.612,0.556,0.7784742,0.27499646,TF-IDF,72,3389
